casp_ed,target_id,chains,residues,atoms
10,T0717,1,301,2440
10,T0719,1,593,4535
10,T0720,1,198,1586
10,T0721,1,299,2353
10,T0722,1,127,980
10,T0723,1,131,1055
10,T0724,1,234,1760
10,T0726,1,587,4709
10,T0727,1,93,1479
10,T0729,1,81,1222
10,T0731,1,55,441
10,T0732,1,348,2848
10,T0733,1,376,2867
10,T0734,1,212,1701
10,T0735,1,321,2596
10,T0736,1,166,1362
10,T0737,1,252,2081
10,T0738,1,249,1852
10,T0740,1,155,1262
10,T0741,1,125,987
10,T0742,1,235,1819
10,T0743,1,114,906
10,T0744,1,325,2519
10,T0745,1,178,1417
10,T0746,1,328,2386
10,T0747,1,98,798
10,T0749,1,412,3321
10,T0750,1,182,1322
10,T0751,1,111,1683
10,T0752,1,148,1151
10,T0753,1,108,843
10,T0754,1,69,1108
10,T0755,1,258,1924
10,T0756,1,177,1373
10,T0757,1,247,1987
10,T0758,1,366,2917
11,T0759,1,96,754
11,T0760,1,201,1653
11,T0761,1,214,1760
11,T0762,1,257,2005
11,T0763,1,130,1053
11,T0764,1,321,2572
11,T0765,1,76,576
11,T0766,1,108,848
11,T0767,1,274,2231
11,T0768,1,143,1095
11,T0769,1,112,1857
11,T0770,1,456,3605
11,T0771,1,178,1481
11,T0772,1,240,1903
11,T0773,1,77,1257
11,T0774,1,333,2626
11,T0776,1,219,1755
11,T0777,1,345,2721
11,T0778,1,102,793
11,T0780,1,198,1449
11,T0781,1,382,3021
11,T0782,1,110,888
11,T0783,1,399,3096
11,T0784,1,125,917
11,T0785,1,112,840
11,T0786,1,217,1715
11,T0787,1,126,1001
11,T0788,1,453,3565
11,T0789,1,269,2015
11,T0790,1,265,1987
11,T0791,1,287,2164
11,T0792,1,80,620
11,T0794,1,462,3631
11,T0796,1,305,2362
11,T0797,1,37,271
11,T0798,1,172,1354
11,T0800,1,212,1632
11,T0801,1,360,2823
11,T0803,1,134,1011
11,T0805,1,197,3080
11,T0806,1,256,4130
11,T0807,1,283,2169
11,T0808,1,400,3230
11,T0810,1,338,2680
11,T0811,1,251,1902
11,T0812,1,182,1511
11,T0813,1,302,2260
11,T0814,1,397,3225
11,T0815,1,106,804
11,T0816,1,68,561
11,T0817,1,475,3613
11,T0818,1,134,1106
11,T0819,1,367,2726
11,T0820,1,133,982
11,T0821,1,255,2068
11,T0822,1,114,819
11,T0823,1,288,2240
11,T0824,1,108,829
11,T0825,2,375,2802
11,T0827,1,343,2700
11,T0829,1,67,547
11,T0830,1,528,3973
11,T0831,1,352,2825
11,T0832,1,209,1653
11,T0833,1,108,921
11,T0834,1,208,1630
11,T0835,1,404,3247
11,T0836,1,204,3238
11,T0837,1,121,981
11,T0838,1,126,941
11,T0840,1,629,4544
11,T0841,1,231,1715
11,T0843,1,369,2884
11,T0845,1,426,3304
11,T0847,1,169,2652
11,T0848,1,321,2483
11,T0849,1,236,1850
11,T0851,1,453,3331
11,T0852,1,360,2870
11,T0853,1,152,2301
11,T0854,1,210,1640
11,T0855,1,119,2047
11,T0856,1,159,1229
11,T0857,1,105,1548
11,T0858,1,450,3565
12,T0859,1,113,857
12,T0860,1,136,1069
12,T0861,1,312,2341
12,T0862,1,93,725
12,T0863,1,582,4545
12,T0864,1,246,1946
12,T0865,1,62,492
12,T0866,1,115,875
12,T0868,1,116,873
12,T0869,1,104,818
12,T0870,1,123,987
12,T0871,1,319,4926
12,T0872,1,88,692
12,T0873,1,462,7088
12,T0879,1,220,1705
12,T0886,1,229,1569
12,T0889,1,239,3635
12,T0891,1,112,929
12,T0892,1,193,1522
12,T0893,1,242,1869
12,T0896,1,447,3509
12,T0897,1,262,1915
12,T0898,1,161,1362
12,T0900,1,102,799
12,T0902,1,300,2200
12,T0903,1,348,2685
12,T0904,1,311,2386
12,T0911,1,408,6397
12,T0912,1,599,4781
12,T0918,1,349,2484
12,T0920,1,540,4069
12,T0921,1,138,1039
12,T0922,1,74,550
12,T0928,1,341,2574
12,T0941,1,341,2593
12,T0942,1,387,3073
12,T0943,1,509,3899
12,T0944,1,253,1986
12,T0945,1,375,2846
12,T0947,1,175,1422
13,T0949,1,129,1014
13,T0950,1,342,2767
13,T0951,1,266,2073
13,T0953s1,1,72,516
13,T0953s2,1,248,1808
13,T0954,1,342,2615
13,T0955,1,41,665
13,T0957s1,1,162,1237
13,T0957s2,1,158,1272
13,T0958,1,77,1275
13,T0959,1,189,1492
13,T0960,1,374,5500
13,T0961,1,503,3901
13,T0962,1,177,1373
13,T0963,1,364,5355
13,T0964,1,95,720
13,T0965,1,313,4774
13,T0966,1,492,3822
13,T0967,1,79,632
13,T0968s1,1,118,920
13,T0968s2,1,115,936
13,T0969,1,354,2924
13,T0970,1,85,650
13,T0971,1,130,1975
13,T0973,1,141,1104
13,T0974s1,1,69,556
13,T0974s2,1,80,638
13,T0975,1,281,2253
13,T0976,1,250,1967
13,T0977,1,547,4425
13,T0978,1,413,3367
13,T0979,1,92,714
13,T0980s1,1,104,879
13,T0980s2,1,31,243
13,T0981,1,607,4855
13,T0982,1,267,4142
13,T0983,1,236,1817
13,T0984,1,620,5010
13,T0985,1,842,13475
13,T0986s1,1,92,724
13,T0986s2,1,155,1250
13,T0987,1,381,5909
13,T0988,1,204,1569
13,T0989,1,246,1842
13,T0990,1,552,4527
13,T0991,1,118,872
13,T0992,1,107,820
13,T0993s1,1,263,1996
13,T0993s2,1,98,750
13,T0994,1,585,4821
13,T0995,1,317,2517
13,T0996,1,832,6320
13,T0997,1,201,1544
13,T0998,1,166,1310
13,T0999,1,1551,11743
13,T1000,1,451,3442
13,T1001,1,139,1086
13,T1002,1,270,2195
13,T1003,1,434,3325
13,T1004,1,397,3054
13,T1005,1,326,2633
13,T1006,1,77,598
13,T1008,1,77,1293
13,T1009,1,718,5717
13,T1010,1,210,1584
13,T1011,1,444,3416
13,T1013,1,290,2269
13,T1014,1,268,1921
13,T1015s1,1,88,690
13,T1015s2,1,129,959
13,T1016,1,202,1630
13,T1017s1,1,110,1777
13,T1017s2,1,125,2019
13,T1018,1,334,2560
13,T1019s1,1,58,429
13,T1019s2,1,88,714
13,T1020,1,313,2339
13,T1021s1,1,149,1156
13,T1021s2,1,349,2704
13,T1021s3,1,276,2131
13,T1022s1,1,223,1728
13,T1022s2,1,504,3913
