casp_ed,chains,residues,atoms,target_id,length,pdb_id
9,1,255,1619,T0593,208,3ngw
9,1,202,1210,T0594,140,3ni8
9,2,347,2727,T0596,213,3ni7
9,2,824,5956,T0597,429,3nie
9,2,485,2631,T0598,161,3njc
9,4,2294,12527,T0599,399,3os6
9,4,456,3573,T0600,125,3nja
9,4,2130,13604,T0601,449,3qtd
9,4,478,3218,T0602,123,3nkz
9,2,789,4242,T0603,305,3nkd
9,1,647,4225,T0604,549,3nlc
9,5,362,2314,T0605,72,3nmd
9,1,234,1073,T0606,169,3noh
9,1,1021,4286,T0607,471,3pfe
9,1,527,2345,T0608,279,3nyy
9,4,3071,12747,T0609,340,3os7
9,2,652,3173,T0610,186,3ot2
9,1,220,1719,T0611,227,3nnr
9,2,377,1824,T0612,129,3o0l
9,4,2168,10202,T0613,287,3obi
9,2,396,2918,T0615,179,3nqw
9,6,664,4866,T0616,103,3nrt
9,4,859,4745,T0617,148,3nrv
9,2,544,2718,T0618,182,3nrh
9,1,210,973,T0619,111,3nrw
9,2,629,4821,T0620,312,3nr8
9,2,642,3054,T0621,172,3nkg
9,2,498,2197,T0622,138,3nkl
9,2,647,3838,T0623,220,3nkh
9,2,220,1230,T0624,81,3nrl
9,1,574,2113,T0625,233,3oru
9,2,894,5101,T0626,283,3o1l
9,4,1030,7761,T0627,261,3oql
9,4,1731,9451,T0628,295,3nuw
9,3,1321,5332,T0629,216,2xgf
9,20,2500,39200,T0630,132,2kyt
9,4,618,4681,T0632,168,3nwz
9,2,254,1780,T0634,140,3n53
9,1,257,1481,T0635,191,3n1u
9,4,1869,10649,T0636,336,3p1t
9,2,284,2151,T0637,146,2x3o
9,1,224,1626,T0638,269,3nxh
9,2,410,2215,T0639,128,3nym
9,4,1162,7143,T0640,250,3nyw
9,2,958,4969,T0641,296,3nyi
9,1,219,1294,T0643,83,3nzl
10,1,329,1302,T0644,166,4fr9
10,1,1017,4480,T0645,537,4f7a
10,28,8811,65963,T0648,102,4PJ1
10,1,431,1751,T0649,210,4f54
10,2,1128,5683,T0650,346,4fmz
10,1,451,2386,T0651,254,4f67
10,1,233,1885,T0652,292,4hg0
10,1,953,3580,T0653,414,4fs7
10,1,190,1097,T0654,166,4fo5
10,20,3640,55300,T0655,182,2luz
10,20,3300,55100,T0657,154,2lul
10,4,4114,18338,T0658,541,4fj6
10,2,211,1257,T0659,85,4esn
10,2,407,2903,T0661,215,4fcz
10,20,2060,31820,T0662,79,2lte
10,1,258,1334,T0663,205,4exr
10,2,1834,8735,T0664,540,4f53
10,3,549,4482,T0666,195,3ux4
10,1,378,1726,T0667,194,4fle
10,18,1548,26208,T0668,86,5SYQ
10,20,2380,38420,T0669,109,2ltl
10,1,868,3573,T0671,428,4fd0
10,1,610,2815,T0672,335,4f0j
10,1,130,555,T0673,88,4f98
10,2,791,4849,T0674,340,4fdy
10,20,1740,25100,T0675,75,2lv2
10,2,1075,3509,T0676,204,4e6f
10,1,425,1547,T0678,161,4epz
10,1,522,1926,T0679,223,4h08
10,4,452,2985,T0680,119,4fm3
10,14,2962,21126,T0681,224,4fxt
10,3,646,4939,T0682,235,4jq6
10,1,909,3506,T0683,403,4ezi
10,2,507,3937,T0684,270,4gl6
10,4,1152,6391,T0685,253,4fmt
10,2,1172,4759,T0686,259,4hqo
10,1,345,1709,T0687,216,4hqf
10,2,828,3285,T0688,196,4ezg
10,6,1526,10507,T0689,234,4fvs
10,1,925,3480,T0690,393,4gt6
10,8,1650,9320,T0691,163,4gzv
10,4,3095,15686,T0692,473,4h7n
10,2,1144,5635,T0693,319,4P7C
10,1,889,5334,T0694,315,5JH8
10,1,522,4264,T0695,536,4UXV
10,2,340,1748,T0696,111,4RT5
10,4,2695,15365,T0697,483,4RIZ
10,2,445,2115,T0698,119,4Z39
10,2,698,3858,T0699,234,4kt7
10,4,266,1872,T0700,86,4hfx
10,5,2876,12363,T0703,272,4hes
10,2,1200,4456,T0704,254,4hg2
10,1,807,3765,T0705,474,4ftd
10,2,414,3137,T0706,217,4RCK
10,3,1778,16790,T0707,366,4h41
10,2,842,3441,T0708,196,4h17
10,20,660,8480,T0709,33,6MM4
10,5,1578,7786,T0710,220,5CEA
10,20,660,8160,T0711,33,2M7T
10,2,445,3015,T0712,223,4gbs
10,5,2310,14608,T0713,739,4h09
10,20,1800,27580,T0714,88,2lvc
10,1,874,7101,T0715,462,4c3s
10,20,1480,24740,T0716,71,2ly9
10,2,874,5082,T0717,345,4h0a
10,1,1226,5202,T0719,726,4ak1
10,10,2339,16459,T0720,202,4ic1
10,4,1346,9765,T0721,301,4fk1
10,4,1510,7618,T0724,265,4fmr
10,1,811,4940,T0726,597,4fgm
10,20,1800,30400,T0731,79,2lz1
10,5,2136,14740,T0732,354,5K71
10,4,1857,11900,T0733,390,4gqa
10,4,927,6948,T0734,216,4CSO
10,1,495,2826,T0735,349,4g2a
10,1,296,1518,T0736,168,4l8p
10,1,376,2260,T0737,292,3td7
10,1,317,1694,T0738,249,4is2
10,3,4721,36271,T0739,770,4OJ5
10,2,971,4574,T0742,312,4ghb
10,2,355,2013,T0743,149,4hyz
10,1,854,3124,T0744,329,2ymv
10,2,1430,5550,T0746,367,4gpv
10,2,400,1816,T0747,121,4g5a
10,1,815,3756,T0749,449,4gl3
10,1,385,1544,T0750,188,4S1P
10,1,277,1312,T0752,156,4gb5
10,5,1111,4803,T0753,109,4goq
10,1,517,2183,T0755,264,4h1x
10,2,500,2854,T0756,179,4g6q
10,1,458,2226,T0757,247,4gak
10,1,414,3001,T0758,388,4RM7
11,4,489,3575,T0759,109,4q28
11,4,1342,7202,T0760,242,4pqx
11,2,661,3765,T0761,285,4pw1
11,1,415,2208,T0762,280,4q5t
11,3,752,3532,T0763,163,4q0y
11,1,651,2927,T0764,341,4q34
11,4,327,2360,T0765,128,4pwu
11,2,425,1970,T0766,130,4q53
11,2,1284,5198,T0767,318,4qpv
11,4,1056,4869,T0768,170,4oju
11,20,2240,37140,T0769,112,2mq8
11,2,1205,7489,T0770,488,4q69
11,2,632,3221,T0771,204,4qe0
11,4,1869,8456,T0772,265,4qhz
11,20,1540,25140,T0773,77,2n2u
11,1,638,2999,T0774,379,4qb7
11,3,2815,10752,T0775,390,4uxe
11,2,437,3509,T0776,256,4q9a
11,2,1141,5919,T0777,366,4v00
11,1,213,1479,T0780,259,4qdy
11,2,1015,6251,T0781,420,4qan
11,1,225,1012,T0782,135,4qrl
11,1,452,3108,T0783,411,4cvh
11,10,1472,9522,T0784,155,4qey
11,4,1012,3923,T0785,115,4d0v
11,1,224,1728,T0786,264,4qvu
11,6,1578,12188,T0787,153,4tvp
11,6,1578,12188,T0788,481,4tvp
11,10,928,5973,T0792,80,5a49
11,2,1051,16470,T0793,595,5dgk
11,2,1172,7616,T0794,470,4cyf
11,1,314,1247,T0795,141,5fjl
11,1,718,2796,T0796,309,4pkm
11,4,427,3154,T0797,44,4ojk
11,4,427,3154,T0798,198,4ojk
11,9,4553,28495,T0799,408,4uw8
11,1,372,1791,T0800,247,4qrk
11,8,3176,22917,T0801,376,4piw
11,3,788,3163,T0802,122,4ue0
11,1,815,4149,T0803,139,4ogm
11,3,634,4578,T0804,202,5n83
11,2,1078,4776,T0806,258,5caj
11,1,510,2443,T0807,284,4wgh
11,1,1109,4008,T0808,418,4qhw
11,1,606,2956,T0810,383,5jp6
11,1,196,1502,T0812,204,4yeq
11,1,575,2503,T0813,307,4wji
11,1,681,3528,T0814,424,4r7f
11,2,239,1656,T0815,106,4u13
11,2,254,1240,T0816,68,5a1q
11,1,587,3720,T0817,525,4wed
11,2,275,2236,T0818,166,4r1k
11,3,2122,9318,T0819,373,4wbt
11,1,420,2263,T0821,275,4r7s
11,1,233,962,T0822,121,5fu5
11,4,1215,9155,T0823,296,6gtm
11,1,213,943,T0824,110,5omt
11,1,665,4463,T0826,544,5fgn
11,2,485,2774,T0828,325,4z29
11,1,141,661,T0829,70,4rgi
11,1,628,4804,T0830,575,5f15
11,1,512,3040,T0831,419,4qn1
11,2,767,3732,T0832,257,4rd8
11,1,301,1144,T0833,136,4r03
11,1,308,1761,T0834,219,4r7q
11,1,193,1131,T0837,128,5tf3
11,2,909,4577,T0839,262,5oo7
11,4,1724,12617,T0840,669,4qt8
11,4,1724,12617,T0841,253,4qt8
11,7,2874,20714,T0843,369,4xau
11,4,2050,13450,T0845,448,4r5o
11,4,795,10970,T0847,176,4urj
11,1,358,2557,T0848,354,4r4g
11,2,588,3751,T0849,240,4w66
11,2,988,6723,T0851,456,4wb1
11,2,823,5874,T0852,414,4w9r
11,20,3040,46020,T0853,152,2mqb
11,2,595,3330,T0854,212,4rn3
11,20,2380,37660,T0855,119,2mqd
11,1,328,1416,T0856,159,4qt6
11,20,2100,30960,T0857,105,2mqc
11,3,1974,11415,T0858,494,5ngk
12,40,5240,78720,T0859,133,5jzr
12,1,314,1247,T0860,137,5fjl
12,6,1168,8296,T0861,323,5j5v
12,6,1168,8296,T0862,239,5j5v
12,4,1468,11462,T0863,670,5sy1
12,4,740,4247,T0864,246,5d9g
12,90,6750,113130,T0865,75,2n64
12,3,338,2563,T0866,183,5uw2
12,4,595,3537,T0868,161,5j4a
12,4,595,3537,T0869,120,5j4a
12,6,1168,8296,T0870,138,5j5v
12,2,259,1505,T0872,91,5jmb
12,4,2106,14555,T0873,501,6da6
12,2,634,2705,T0877,142,5nsj
12,2,1419,6011,T0878,358,5unb
12,1,422,1906,T0879,223,5jmu
12,2,314,2841,T0882,89,5g3q
12,8,889,5958,T0884,75,5t87
12,8,889,5958,T0885,116,5t87
12,2,549,3219,T0886,346,5fhy
12,4,733,5013,T0887,178,6f03
12,1,241,3666,T0889,242,5jo9
12,2,217,1874,T0891,130,4ymp
12,1,1419,11198,T0892,193,5nv4
12,1,245,1898,T0893,242,5idj
12,2,455,2285,T0894,324,5hkq
12,2,455,2285,T0895,129,5hkq
12,1,243,972,T0900,106,5aot
12,7,2076,15232,T0902,315,3jb5
12,16,5069,38980,T0903,382,5a7d
12,16,5069,38980,T0904,341,5a7d
12,3,1268,8019,T0909,340,5g5n
12,2,824,6472,T0911,445,6e9n
12,8,7582,41103,T0912,624,5mqp
12,4,816,5212,T0914,337,6cp8
12,4,816,5212,T0915,161,6cp8
12,6,2496,16902,T0918,546,5uvn
12,1,770,4328,T0920,568,5ere
12,1,367,1287,T0921,149,5aoz
12,2,536,1907,T0922,96,5m2o
12,1,359,2540,T0928,388,5tf2
12,40,5240,78720,T0929,133,5jzr
12,4,1468,11462,T0930,670,5sy1
12,4,733,5013,T0931,178,6f03
12,4,740,4247,T0932,246,5d9g
12,2,549,3219,T0933,346,5fhy
12,1,352,1539,T0942,487,5xi8
12,1,593,3986,T0943,563,5kkp
12,1,483,2216,T0944,277,5ko9
12,1,390,2882,T0945,409,5lev
12,10,5474,39838,T0948,166,5tj4
13,4,1547,10878,T0950,353,6ek4
13,1,481,2314,T0951,276,5z82
13,4,1049,3992,T0953s1,72,6f45
13,4,1049,3992,T0953s2,249,6f45
13,3,1289,7848,T0954,350,6cvz
13,20,820,13300,T0955,41,5w9f
13,4,816,5212,T0957s1,163,6cp8
13,4,816,5212,T0957s2,164,6cp8
13,2,281,2836,T0958,96,6btc
13,6,4282,35038,T0960,384,6cl5
13,6,6241,36385,T0963,372,6cl6
13,2,1104,10106,T0965,334,6d2v
13,2,1005,7686,T0966,494,5w6l
13,6,649,4116,T0967,81,6qfj
13,8,947,7400,T0968s1,126,6cp9
13,8,947,7400,T0968s2,116,6cp9
13,2,1788,8688,T0961,505,6sd8
13,1,916,3577,T0969,487,6cci
13,4,371,2668,T0970,97,6g57
13,2,470,4262,T0971,186,6d34
13,2,856,4362,T0976,252,6mxv
13,4,262,4369,T0980s1,111,6gnx
13,4,262,4369,T0980s2,52,6gnx
13,2,1242,10046,T0984,752,6nq1
13,2,345,2072,T0986s1,96,6d7y
13,2,345,2072,T0986s2,155,6d7y
13,1,552,4527,T0990,552,6n9y
13,4,1982,14018,T1000,523,6u7l
13,2,1107,6885,T1003,474,6hrh
13,1,326,2633,T1005,364,6q64
13,2,203,1243,T1006,79,6qek
13,20,1940,32560,T1008,80,6msp
13,2,1799,12538,T1009,718,6dru
13,1,459,3548,T1011,534,6m9t
13,1,476,3426,T1014,276,6qrj
13,4,882,6329,T1016,203,6e4b
13,2,1069,5625,T1018,334,6n91
13,5,1279,9879,T1021s1,149,6rap
13,5,1279,9879,T1021s2,354,6rap
13,5,1279,9879,T1021s3,295,6rap
13,3,951,7378,T1022s1,229,6rbk
13,3,951,7378,T1022s2,529,6rbk
